idx, class_id, class_name, start_second, end_second
1, 2, glass/0061.wav, 3.536375, 4.394344
2, 4, screams/0035.wav, 8.209781, 9.989750
3, 4, screams/0032.wav, 13.719188, 14.509156
4, 3, gunshots/0157.wav, 18.955406, 19.382375
5, 4, screams/0017.wav, 24.676031, 25.606000
6, 4, screams/0007.wav, 30.316625, 31.112594
7, 2, glass/0013.wav, 35.942219, 36.902187
8, 3, gunshots/0126.wav, 42.383594, 42.653562
9, 3, gunshots/0013.wav, 47.524906, 48.100875
10, 4, screams/0003.wav, 52.198469, 53.022438
11, 2, glass/0034.wav, 57.745688, 59.665656
12, 3, gunshots/0088.wav, 64.508906, 64.848875
13, 3, gunshots/0006.wav, 68.157125, 68.970094
14, 4, screams/0035.wav, 74.172156, 75.952125
15, 3, gunshots/0029.wav, 79.477688, 79.837656
16, 3, gunshots/0018.wav, 85.074156, 85.756125
17, 2, glass/0033.wav, 89.580844, 90.563812
18, 2, glass/0027.wav, 94.708625, 95.768594
19, 4, screams/0003.wav, 100.673750, 101.497719
20, 4, screams/0021.wav, 107.182563, 107.937531
21, 2, glass/0018.wav, 113.298375, 114.288344
22, 3, gunshots/0045.wav, 118.207281, 118.524250
23, 4, screams/0012.wav, 124.048563, 125.120531
24, 4, screams/0019.wav, 129.018344, 130.090313
25, 3, gunshots/0011.wav, 134.189719, 134.672687
26, 3, gunshots/0066.wav, 139.868719, 140.249687
27, 3, gunshots/0085.wav, 145.243000, 145.667969
28, 4, screams/0006.wav, 151.142500, 151.912469
29, 2, glass/0043.wav, 155.364281, 156.759250
30, 4, screams/0008.wav, 161.499156, 162.323125
31, 3, gunshots/0031.wav, 166.780125, 167.308094
32, 2, glass/0006.wav, 172.491156, 173.301125
33, 2, glass/0010.wav, 178.719250, 180.666219
