idx, class_id, class_name, start_second, end_second
1, 3, gunshots/0025.wav, 3.714656, 4.496625
2, 4, screams/0004.wav, 9.182719, 10.141687
3, 2, glass/0031.wav, 14.274250, 14.928219
4, 3, gunshots/0103.wav, 19.562844, 19.921813
5, 3, gunshots/0085.wav, 24.501250, 24.926219
6, 4, screams/0025.wav, 29.021656, 29.991625
7, 2, glass/0019.wav, 35.479813, 36.659781
8, 3, gunshots/0108.wav, 41.704281, 42.176250
9, 2, glass/0018.wav, 46.904375, 47.894344
10, 2, glass/0061.wav, 51.465281, 52.323250
11, 3, gunshots/0122.wav, 56.781281, 57.118250
12, 4, screams/0008.wav, 62.757875, 63.581844
13, 3, gunshots/0089.wav, 68.493125, 68.873094
14, 4, screams/0025.wav, 74.083406, 75.053375
15, 4, screams/0033.wav, 80.631469, 81.351438
16, 2, glass/0058.wav, 86.826344, 90.506313
17, 2, glass/0014.wav, 93.973906, 99.423875
18, 3, gunshots/0035.wav, 103.735438, 104.066406
19, 4, screams/0004.wav, 108.122812, 109.081781
20, 3, gunshots/0025.wav, 114.508031, 115.290000
21, 4, screams/0039.wav, 118.778969, 119.781937
22, 3, gunshots/0054.wav, 124.320375, 124.998344
23, 3, gunshots/0085.wav, 129.864094, 130.289062
24, 3, gunshots/0096.wav, 135.335031, 135.762000
25, 4, screams/0021.wav, 140.904844, 141.659812
26, 3, gunshots/0032.wav, 147.215906, 147.763875
27, 3, gunshots/0066.wav, 152.018250, 152.399219
28, 3, gunshots/0051.wav, 156.018781, 156.407750
29, 2, glass/0014.wav, 161.024406, 166.474375
30, 4, screams/0002.wav, 170.726781, 171.823750
31, 4, screams/0024.wav, 176.774281, 177.479250
