idx, class_id, class_name, start_second, end_second
1, 4, screams/0032.wav, 4.694625, 5.484594
2, 4, screams/0033.wav, 8.834687, 9.554656
3, 4, screams/0036.wav, 14.775313, 15.985281
4, 3, gunshots/0106.wav, 20.989125, 21.371094
5, 2, glass/0048.wav, 26.225938, 27.818906
6, 2, glass/0058.wav, 31.930937, 35.610906
7, 2, glass/0006.wav, 39.021500, 39.831469
8, 4, screams/0030.wav, 44.772531, 46.722500
9, 3, gunshots/0026.wav, 51.120719, 51.856687
10, 3, gunshots/0150.wav, 57.152625, 57.580594
11, 2, glass/0055.wav, 61.005156, 61.824125
12, 4, screams/0023.wav, 66.963219, 67.788188
13, 4, screams/0025.wav, 71.861719, 72.831688
14, 3, gunshots/0086.wav, 77.085656, 77.600625
15, 4, screams/0001.wav, 82.150437, 83.250406
16, 3, gunshots/0011.wav, 88.191094, 88.674063
17, 4, screams/0005.wav, 93.502344, 96.715312
18, 2, glass/0058.wav, 101.218469, 104.898438
19, 4, screams/0021.wav, 108.698500, 109.453469
20, 3, gunshots/0058.wav, 114.065781, 114.425750
21, 4, screams/0005.wav, 119.954094, 123.167063
22, 3, gunshots/0007.wav, 127.305000, 128.141969
23, 3, gunshots/0072.wav, 131.584594, 132.060563
24, 4, screams/0033.wav, 135.451687, 136.171656
25, 4, screams/0004.wav, 139.760625, 140.719594
26, 2, glass/0012.wav, 146.312000, 147.451969
27, 2, glass/0002.wav, 152.921687, 153.866656
28, 4, screams/0031.wav, 159.486781, 160.586750
29, 4, screams/0012.wav, 164.632844, 165.704813
30, 4, screams/0010.wav, 170.079312, 171.538281
31, 4, screams/0049.wav, 176.418375, 182.642344
