idx, class_id, class_name, start_second, end_second
1, 2, glass/0039.wav, 4.550688, 6.310656
2, 2, glass/0010.wav, 11.939531, 13.886500
3, 4, screams/0029.wav, 19.023469, 19.513437
4, 3, gunshots/0023.wav, 23.727969, 24.497937
5, 4, screams/0036.wav, 28.210969, 29.420938
6, 3, gunshots/0013.wav, 33.349750, 33.925719
7, 2, glass/0009.wav, 39.006281, 40.060250
8, 4, screams/0006.wav, 45.146219, 45.916187
9, 3, gunshots/0130.wav, 51.334500, 51.694469
10, 3, gunshots/0026.wav, 56.009500, 56.745469
11, 2, glass/0013.wav, 61.865344, 62.825313
12, 3, gunshots/0020.wav, 67.436656, 68.096625
13, 4, screams/0017.wav, 71.713063, 72.643031
14, 2, glass/0061.wav, 77.268750, 78.126719
15, 4, screams/0006.wav, 83.579719, 84.349688
16, 2, glass/0063.wav, 89.919094, 91.591063
17, 4, screams/0030.wav, 95.564625, 97.514594
18, 3, gunshots/0048.wav, 103.175750, 103.550719
19, 2, glass/0006.wav, 107.312094, 108.122062
20, 4, screams/0032.wav, 112.652000, 113.441969
21, 4, screams/0002.wav, 117.353188, 118.450156
22, 4, screams/0027.wav, 123.866031, 124.774000
23, 3, gunshots/0045.wav, 129.560125, 129.877094
24, 4, screams/0004.wav, 134.933844, 135.892812
25, 4, screams/0017.wav, 141.534594, 142.464562
26, 2, glass/0063.wav, 147.672125, 149.344094
27, 4, screams/0007.wav, 153.658688, 154.454656
28, 2, glass/0011.wav, 158.463344, 159.216312
29, 2, glass/0006.wav, 162.603344, 163.413312
30, 2, glass/0027.wav, 167.304062, 168.364031
31, 4, screams/0013.wav, 173.329156, 174.479125
32, 2, glass/0041.wav, 179.044031, 181.454000
