idx, class_id, class_name, start_second, end_second
1, 3, gunshots/0062.wav, 5.047531, 5.494469
2, 4, screams/0006.wav, 9.779969, 10.549938
3, 3, gunshots/0091.wav, 14.010531, 14.393500
4, 3, gunshots/0023.wav, 18.798562, 19.568531
5, 2, glass/0002.wav, 25.017656, 25.962625
6, 2, glass/0047.wav, 31.064563, 33.274531
7, 2, glass/0013.wav, 36.589406, 37.549375
8, 4, screams/0036.wav, 41.896969, 43.106938
9, 3, gunshots/0062.wav, 47.688531, 48.135469
10, 2, glass/0055.wav, 53.326969, 54.145938
11, 2, glass/0041.wav, 59.393813, 61.803781
12, 2, glass/0048.wav, 65.490219, 67.083187
13, 4, screams/0024.wav, 72.348187, 73.053156
14, 2, glass/0040.wav, 78.237125, 79.912094
15, 4, screams/0007.wav, 84.553562, 85.349531
16, 4, screams/0046.wav, 90.822312, 92.782281
17, 2, glass/0028.wav, 96.742906, 97.722875
18, 2, glass/0043.wav, 101.810875, 103.205844
19, 3, gunshots/0057.wav, 107.512187, 108.493156
20, 4, screams/0042.wav, 112.058781, 114.693750
21, 4, screams/0027.wav, 119.631719, 120.539687
22, 4, screams/0036.wav, 124.739469, 125.949438
23, 3, gunshots/0048.wav, 131.232375, 131.607344
24, 3, gunshots/0158.wav, 136.986656, 137.431625
25, 2, glass/0031.wav, 142.777906, 143.431875
26, 3, gunshots/0007.wav, 147.963875, 148.800844
27, 4, screams/0039.wav, 153.306813, 154.309781
28, 2, glass/0043.wav, 158.531156, 159.926125
29, 4, screams/0032.wav, 164.174125, 164.964094
30, 2, glass/0004.wav, 168.965937, 169.965906
31, 4, screams/0021.wav, 173.941531, 174.696500
32, 2, glass/0028.wav, 178.574000, 179.553969
