idx, class_id, class_name, start_second, end_second
1, 4, screams/0019.wav, 3.968406, 5.040375
2, 3, gunshots/0003.wav, 10.586469, 11.336438
3, 4, screams/0023.wav, 16.153406, 16.978375
4, 4, screams/0048.wav, 22.637812, 23.536781
5, 3, gunshots/0016.wav, 27.491750, 27.941719
6, 2, glass/0058.wav, 31.461188, 35.141156
7, 3, gunshots/0156.wav, 39.529344, 39.866312
8, 3, gunshots/0075.wav, 44.910031, 45.198000
9, 2, glass/0019.wav, 49.650188, 50.830156
10, 2, glass/0033.wav, 55.606281, 56.589250
11, 3, gunshots/0147.wav, 60.744813, 61.126781
12, 4, screams/0035.wav, 66.288844, 68.068813
13, 2, glass/0050.wav, 72.248437, 73.642406
14, 3, gunshots/0057.wav, 77.492594, 78.473562
15, 2, glass/0061.wav, 81.904250, 82.762219
16, 4, screams/0022.wav, 87.362750, 88.502719
17, 4, screams/0031.wav, 94.201125, 95.301094
18, 4, screams/0006.wav, 99.978562, 100.748531
19, 3, gunshots/0031.wav, 104.153500, 104.681469
20, 2, glass/0041.wav, 109.890906, 112.300875
21, 2, glass/0012.wav, 117.251031, 118.391000
22, 4, screams/0002.wav, 122.398375, 123.495344
23, 3, gunshots/0140.wav, 127.751781, 128.110750
24, 4, screams/0017.wav, 131.513469, 132.443437
25, 4, screams/0036.wav, 136.595344, 137.805313
26, 4, screams/0042.wav, 143.182250, 145.817219
27, 3, gunshots/0150.wav, 150.453219, 150.881188
28, 2, glass/0024.wav, 154.778531, 156.856500
29, 3, gunshots/0108.wav, 161.751500, 162.223469
30, 2, glass/0019.wav, 166.915219, 168.095188
31, 2, glass/0013.wav, 171.588781, 172.548750
32, 2, glass/0012.wav, 176.409531, 177.549500
