idx, class_id, class_name, start_second, end_second
1, 2, glass/0053.wav, 5.204281, 6.198250
2, 4, screams/0039.wav, 9.503813, 10.506781
3, 4, screams/0040.wav, 15.231000, 15.945969
4, 4, screams/0031.wav, 20.917813, 22.017781
5, 4, screams/0040.wav, 27.283438, 27.998406
6, 3, gunshots/0049.wav, 33.008375, 33.398344
7, 3, gunshots/0083.wav, 37.779969, 38.204937
8, 2, glass/0018.wav, 41.668312, 42.658281
9, 4, screams/0031.wav, 46.544344, 47.644312
10, 4, screams/0046.wav, 51.563219, 53.523187
11, 4, screams/0021.wav, 56.899563, 57.654531
12, 4, screams/0024.wav, 63.298750, 64.003719
13, 2, glass/0034.wav, 68.697531, 70.617500
14, 4, screams/0029.wav, 75.265000, 75.754969
15, 4, screams/0030.wav, 79.594625, 81.544594
16, 2, glass/0011.wav, 86.812438, 87.565406
17, 4, screams/0033.wav, 92.502687, 93.222656
18, 2, glass/0018.wav, 97.750719, 98.740688
19, 2, glass/0005.wav, 104.256719, 105.036687
20, 3, gunshots/0027.wav, 110.065000, 110.425969
21, 2, glass/0029.wav, 114.722875, 115.664844
22, 4, screams/0007.wav, 120.533750, 121.329719
23, 3, gunshots/0014.wav, 125.190313, 125.702281
24, 4, screams/0044.wav, 131.193062, 132.913031
25, 4, screams/0032.wav, 137.190250, 137.980219
26, 2, glass/0038.wav, 141.915031, 143.180000
27, 3, gunshots/0156.wav, 147.080125, 147.417094
28, 2, glass/0026.wav, 152.546000, 153.730969
29, 4, screams/0042.wav, 159.313094, 161.948062
30, 2, glass/0006.wav, 167.369000, 168.178969
31, 4, screams/0030.wav, 171.720031, 173.670000
32, 3, gunshots/0102.wav, 177.968281, 178.395250
