idx, class_id, class_name, start_second, end_second
1, 4, screams/0040.wav, 5.272969, 5.987938
2, 3, gunshots/0106.wav, 9.584375, 9.966344
3, 4, screams/0044.wav, 14.927750, 16.647719
4, 4, screams/0049.wav, 20.523094, 26.747062
5, 2, glass/0031.wav, 31.745906, 32.399875
6, 3, gunshots/0023.wav, 36.959781, 37.729750
7, 2, glass/0053.wav, 42.879438, 43.873406
8, 2, glass/0005.wav, 48.551625, 49.331594
9, 3, gunshots/0141.wav, 53.132469, 53.492438
10, 4, screams/0039.wav, 57.504375, 58.507344
11, 2, glass/0026.wav, 62.492188, 63.677156
12, 2, glass/0058.wav, 68.937781, 72.617750
13, 4, screams/0003.wav, 77.202031, 78.026000
14, 3, gunshots/0110.wav, 82.186906, 82.523875
15, 3, gunshots/0013.wav, 86.411750, 86.987719
16, 2, glass/0024.wav, 91.352531, 93.430500
17, 2, glass/0039.wav, 97.993031, 99.753000
18, 4, screams/0042.wav, 103.999875, 106.634844
19, 3, gunshots/0123.wav, 110.645719, 110.960688
20, 4, screams/0040.wav, 115.926187, 116.641156
21, 2, glass/0061.wav, 121.106000, 121.963969
22, 3, gunshots/0111.wav, 126.641094, 127.068062
23, 3, gunshots/0061.wav, 130.894563, 131.356531
24, 3, gunshots/0070.wav, 135.312312, 135.731281
25, 2, glass/0032.wav, 140.998594, 141.935563
26, 2, glass/0012.wav, 147.541375, 148.681344
27, 3, gunshots/0103.wav, 151.998219, 152.357188
28, 4, screams/0035.wav, 156.020906, 157.800875
29, 4, screams/0010.wav, 163.004219, 164.463188
30, 4, screams/0010.wav, 167.934250, 169.393219
31, 4, screams/0043.wav, 173.203406, 174.533375
32, 3, gunshots/0109.wav, 178.102906, 178.575875
