idx, class_id, class_name, start_second, end_second
1, 4, screams/0032.wav, 3.610594, 4.400563
2, 3, gunshots/0152.wav, 9.824625, 10.274594
3, 3, gunshots/0056.wav, 14.304875, 14.593844
4, 4, screams/0022.wav, 18.040437, 19.180406
5, 2, glass/0043.wav, 24.834250, 26.229219
6, 2, glass/0047.wav, 30.826406, 33.036375
7, 2, glass/0031.wav, 37.057156, 37.711125
8, 4, screams/0036.wav, 42.638781, 43.848750
9, 4, screams/0027.wav, 48.824312, 49.732281
10, 4, screams/0029.wav, 53.846781, 54.336750
11, 4, screams/0022.wav, 57.736281, 58.876250
12, 2, glass/0020.wav, 63.814687, 64.392656
13, 2, glass/0032.wav, 69.956344, 70.893312
14, 2, glass/0061.wav, 76.187813, 77.045781
15, 3, gunshots/0045.wav, 81.649687, 81.966656
16, 2, glass/0050.wav, 85.337719, 86.731688
17, 2, glass/0025.wav, 92.142625, 94.474594
18, 3, gunshots/0058.wav, 99.930031, 100.290000
19, 4, screams/0024.wav, 105.817406, 106.522375
20, 3, gunshots/0041.wav, 111.453844, 111.799813
21, 2, glass/0029.wav, 116.567625, 117.509594
22, 3, gunshots/0103.wav, 121.396000, 121.754969
23, 2, glass/0007.wav, 126.101969, 127.256938
24, 3, gunshots/0070.wav, 130.885906, 131.304875
25, 2, glass/0043.wav, 135.735344, 137.130313
26, 3, gunshots/0075.wav, 141.940438, 142.228406
27, 2, glass/0020.wav, 147.362313, 147.940281
28, 4, screams/0012.wav, 152.551719, 153.623687
29, 2, glass/0058.wav, 157.730594, 161.410562
30, 2, glass/0025.wav, 165.582188, 167.914156
31, 3, gunshots/0104.wav, 173.193844, 173.576812
32, 4, screams/0003.wav, 179.213469, 180.037438
