idx, class_id, class_name, start_second, end_second
1, 4, screams/0024.wav, 4.037813, 4.742781
2, 2, glass/0004.wav, 8.652406, 9.652375
3, 3, gunshots/0152.wav, 15.287937, 15.737906
4, 4, screams/0019.wav, 20.267500, 21.339469
5, 2, glass/0047.wav, 25.662781, 27.872750
6, 3, gunshots/0077.wav, 33.148750, 33.466687
7, 4, screams/0033.wav, 38.932344, 39.652313
8, 4, screams/0042.wav, 44.919562, 47.554531
9, 4, screams/0044.wav, 51.257688, 52.977656
10, 4, screams/0030.wav, 57.296875, 59.246844
11, 4, screams/0049.wav, 62.593031, 68.817000
12, 2, glass/0011.wav, 74.456000, 75.208969
13, 3, gunshots/0106.wav, 80.246594, 80.628563
14, 4, screams/0039.wav, 84.555250, 85.558219
15, 2, glass/0031.wav, 90.574812, 91.228781
16, 2, glass/0009.wav, 95.648687, 96.702656
17, 4, screams/0004.wav, 101.767781, 102.726750
18, 3, gunshots/0125.wav, 106.544531, 106.881500
19, 4, screams/0005.wav, 110.935000, 114.147969
20, 4, screams/0023.wav, 119.526125, 120.351094
21, 2, glass/0034.wav, 124.143781, 126.063750
22, 2, glass/0061.wav, 130.776875, 131.634844
23, 3, gunshots/0060.wav, 136.386844, 136.819813
24, 2, glass/0043.wav, 141.106375, 142.501344
25, 4, screams/0031.wav, 146.052406, 147.152375
26, 2, glass/0025.wav, 152.461469, 154.793438
27, 4, screams/0030.wav, 160.206687, 162.156656
28, 3, gunshots/0078.wav, 165.989094, 166.609062
29, 4, screams/0049.wav, 170.605625, 176.829594
