idx, class_id, class_name, start_second, end_second
1, 2, glass/0032.wav, 4.514188, 5.451156
2, 2, glass/0032.wav, 9.203281, 10.140250
3, 2, glass/0040.wav, 14.292344, 15.967313
4, 3, gunshots/0075.wav, 19.345219, 19.633187
5, 2, glass/0055.wav, 22.985375, 23.804344
6, 3, gunshots/0011.wav, 27.891844, 28.374813
7, 3, gunshots/0045.wav, 33.307781, 33.624750
8, 3, gunshots/0046.wav, 38.485375, 38.889344
9, 4, screams/0048.wav, 44.085125, 44.984094
10, 3, gunshots/0091.wav, 48.715750, 49.098719
11, 2, glass/0025.wav, 53.447688, 55.779656
12, 3, gunshots/0081.wav, 60.719250, 61.292219
13, 4, screams/0039.wav, 65.862031, 66.865000
14, 3, gunshots/0158.wav, 71.901562, 72.346531
15, 4, screams/0008.wav, 76.358031, 77.182000
16, 4, screams/0044.wav, 81.456969, 83.176937
17, 3, gunshots/0122.wav, 86.936437, 87.273406
18, 3, gunshots/0045.wav, 91.948688, 92.265656
19, 2, glass/0003.wav, 96.953937, 98.933906
20, 4, screams/0024.wav, 104.421281, 105.126250
21, 4, screams/0027.wav, 108.685406, 109.593375
22, 2, glass/0031.wav, 113.884687, 114.538656
23, 3, gunshots/0086.wav, 119.671969, 120.186937
24, 4, screams/0017.wav, 124.562875, 125.492844
25, 3, gunshots/0152.wav, 130.161687, 130.611656
26, 2, glass/0010.wav, 134.642344, 136.589313
27, 2, glass/0047.wav, 139.970656, 142.180625
28, 4, screams/0046.wav, 147.320938, 149.280906
29, 2, glass/0057.wav, 153.781656, 154.843625
30, 3, gunshots/0051.wav, 158.961281, 159.350250
31, 3, gunshots/0088.wav, 163.387063, 163.727031
32, 4, screams/0046.wav, 167.852500, 169.812469
33, 4, screams/0019.wav, 173.449312, 174.521281
