idx, class_id, class_name, start_second, end_second
1, 3, gunshots/0077.wav, 5.049062, 5.367000
2, 3, gunshots/0114.wav, 9.643125, 9.957094
3, 4, screams/0032.wav, 15.107219, 15.897187
4, 2, glass/0056.wav, 19.983156, 20.637125
5, 2, glass/0052.wav, 25.078344, 25.968312
6, 2, glass/0063.wav, 29.837406, 31.509375
7, 2, glass/0007.wav, 37.116094, 38.271062
8, 2, glass/0029.wav, 41.623312, 42.565281
9, 4, screams/0033.wav, 46.128750, 46.848719
10, 4, screams/0017.wav, 50.599219, 51.529187
11, 3, gunshots/0049.wav, 55.144031, 55.534000
12, 3, gunshots/0123.wav, 61.043719, 61.358688
13, 2, glass/0031.wav, 64.982625, 65.636594
14, 2, glass/0054.wav, 69.377219, 70.642188
15, 4, screams/0036.wav, 74.038375, 75.248344
16, 4, screams/0003.wav, 79.653844, 80.477812
17, 2, glass/0052.wav, 84.051156, 84.941125
18, 2, glass/0057.wav, 90.410094, 91.472063
19, 3, gunshots/0081.wav, 96.498937, 97.071906
20, 2, glass/0025.wav, 101.369750, 103.701719
21, 4, screams/0005.wav, 107.684844, 110.897813
22, 2, glass/0007.wav, 116.154875, 117.309844
23, 3, gunshots/0027.wav, 121.668219, 122.029188
24, 4, screams/0040.wav, 127.664375, 128.379344
25, 4, screams/0033.wav, 132.828812, 133.548781
26, 4, screams/0034.wav, 138.260625, 139.387594
27, 4, screams/0019.wav, 144.498156, 145.570125
28, 4, screams/0013.wav, 148.894500, 150.044469
29, 2, glass/0059.wav, 153.923656, 159.003625
30, 4, screams/0017.wav, 163.887531, 164.817500
31, 4, screams/0023.wav, 170.273875, 171.098844
32, 3, gunshots/0124.wav, 175.898531, 176.191500
33, 3, gunshots/0130.wav, 179.983281, 180.343250
